load_file,dataset,corruption_name,corruption_severity,Method,BNN,use_pretrained,Tune_last_layer_only,augment_test,seed,val_loss,val_accuracy,base_aic0,base_aic1,base_aic2,up0,up1,up2,elbo,ece
../../../saved_checkpoint/cifar10/cifar10_random_3.model,cifar10c,gaussian_noise,2,random,FALSE,FALSE,FALSE,FALSE,0,1.918227128,55.54,58.15,57.5,57.09,5.29,3.76,2.97,0,0.262711614
../../../saved_checkpoint/cifar10/cifar10_random_3.model,cifar10c,gaussian_noise,3,random,FALSE,FALSE,FALSE,FALSE,0,3.099125055,37.77,41.32,40.53,40,5.95,4.58,3.83,0,0.418090641
../../../saved_checkpoint/cifar10/cifar10_random_2.model,cifar10c,snow,1,random,FALSE,FALSE,FALSE,FALSE,0,0.519072278,84.38,84.78,84.66,84.57,2.34,1.72,1.45,0,0.060104195
../../../saved_checkpoint/cifar10/cifar10_random_3.model,cifar10c,gaussian_noise,4,random,FALSE,FALSE,FALSE,FALSE,0,3.648288184,32.18,35.92,34.99,34.63,6.46,4.85,4.11,0,0.469747216
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,frost,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.780982801,78.39,79.41,79.26,79,3.38,2.65,2.17,0,0.099930666
../../../saved_checkpoint/cifar10/cifar10_random_1.model,cifar10c,snow,2,random,FALSE,FALSE,FALSE,FALSE,0,1.24870099,68.21,69.16,68.91,68.81,4.17,3.16,2.66,0,0.171245188
../../../saved_checkpoint/cifar10/cifar10_random_4.model,cifar10c,gaussian_noise,1,random,FALSE,FALSE,FALSE,FALSE,0,0.990194575,74.51,75.66,75.28,75.16,3.53,2.49,2.11,0,0.137979433
../../../saved_checkpoint/cifar10/cifar10_random_2.model,cifar10c,snow,2,random,FALSE,FALSE,FALSE,FALSE,0,1.038384613,71.22,71.92,71.77,71.77,4.08,3.03,2.51,0,0.138366982
../../../saved_checkpoint/cifar10/cifar10_random_3.model,cifar10c,gaussian_noise,5,random,FALSE,FALSE,FALSE,FALSE,0,4.079776991,27.5,31.59,30.41,29.84,6.19,4.55,3.8,0,0.511806071
../../../saved_checkpoint/cifar10/cifar10_random_4.model,cifar10c,gaussian_noise,2,random,FALSE,FALSE,FALSE,FALSE,0,2.059890962,54.89,57.41,56.76,56.4,6.06,4.37,3.75,0,0.273360819
../../../saved_checkpoint/cifar10/cifar10_random_2.model,cifar10c,snow,3,random,FALSE,FALSE,FALSE,FALSE,0,0.832273795,75.91,76.78,76.47,76.37,3.43,2.5,2.16,0,0.107288256
../../../saved_checkpoint/cifar10/cifar10_random_4.model,cifar10c,gaussian_noise,3,random,FALSE,FALSE,FALSE,FALSE,0,3.435154406,36.45,40.74,39.82,39.21,7.43,5.47,4.52,0,0.429916531
../../../saved_checkpoint/cifar10/cifar10_random_2.model,cifar10c,snow,4,random,FALSE,FALSE,FALSE,FALSE,0,0.902836282,73.44,74.73,74.48,74.28,4.13,2.82,2.28,0,0.12084195
../../../saved_checkpoint/cifar10/cifar10_random_4.model,cifar10c,gaussian_noise,4,random,FALSE,FALSE,FALSE,FALSE,0,4.106003754,29.99,34.13,32.76,32.3,6.84,4.69,3.93,0,0.493137658
